Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
APC	adenomatous polyposis of the colon gene	324	5:112043218-112181936	1	Yes	22.2	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"adenomatous polyposis coli; Turcot syndrome"	"E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS4107.1,DP2,DP2.5,DP3,ENSG00000134982.12,P25054,PPP1R46"
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	22:39378414-39388789	1	Yes	13.1		yes		breast cancer		E	Rec	"oncogene, TSG"	D				"CCDS13982.1,ENSG00000179750.11,FLJ21201,NM_004900.4,NP_004891,NP_001257340.1,NP_004891.4,PHRBNL,Q9UH17"
AR	Androgen Receptor	367	X:66764465-66950461	1	Yes	12	yes	yes	prostate			E	Dom	oncogene	Mis		yes	"Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy"	"AIS,CCDS14387.1,DHTR,ENSG00000169083.11,HUMARA,NM_000044.3,NP_000035.2,NR3C4,SBMA,SMAX1"
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	369	X:47420516-47431299	2		11.23	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"			"E, L"		oncogene	Mis				"ARAF1,CCDS35232.1,ENSG00000078061.8,NM_001654.4,NP_001243125.1,NP_001645.1,P10398"
ARHGAP26	Rho GTPase activating protein 26	23092	5:142149949-142606050	1	Yes	31.3	yes		"AML, MDS"			L	Dom	"TSG, fusion"	"T, F, S"	KMT2A			"CCDS4277.1,ENSG00000145819.11,GRAF,KIAA0621,NM_015071.4,NP_055886.1,OPHN1L,OPHN1L1,Q9UNA1"
ARHGAP35	Rho GTPase activating protein 35	2909	19:47421933-47508334	1		13.32	yes		endometrial carcinoma			E		TSG	"N, Mis, F, O"				"CCDS46127.1,ENSG00000160007.13,GRF-1,GRLF1,KIAA1722,NM_004491.4,NP_004482.4,P190A,Q9NRY4,p190ARhoGAP,p190RhoGAP"
ARHGAP5	Rho GTPase activating protein 5	394	14:32546495-32628934	2		12	yes		"colon cancer, glioma"			"E, O"		oncogene	Mis				"CCDS32062.1,ENSG00000100852.8,GFI2,NM_001030055.1,NP_001025226.1,Q13017,RhoGAP5,p190-B,p190BRhoGAP"
ARHGEF10	Rho guanine nucleotide exchange factor 10	9639	8:1772142-1906799	2		23.3	yes		colon cancer			E		TSG	D				"CCDS34794.1,ENSG00000104728.11,Gef10,KIAA0294,NM_014629.2,NP_055444.2,O15013"
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	1:17866330-18024364	2		36.13	yes		lymphoma			L		TSG	D				"CCDS182.1,ENSG00000074964.12,FLJ10521,KIAA1626,NM_018125.3,NP_060595,NP_060595.3,Q9HCE6"
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11:120207787-120360645	1		23.3	yes		AML			L	Dom	"TSG, fusion"	T	KMT2A			"CCDS41727.1,ENSG00000196914.4,KIAA0382,LARG,NM_015313.2,NP_056128.1,Q9NZN5"
ARID1A	AT rich interactive domain 1A (SWI-like)	8289	1:27022524-27108595	1	Yes	36.11	yes		"clear cell ovarian carcinoma, RCC, breast"			E	Rec	"TSG, fusion"	"Mis, N, F, S, D, T"	MAST2			"B120,BAF250,BAF250a,C10rf4,C1orf4,CCDS285.1,ENSG00000117713.13,NM_006015.4,NP_006006.3,O14497,P270,SMARCF1"
ARID1B	AT rich interactive domain 1B	57492	6:157099063-157531913	1	Yes	25.3	yes		"breast, hepatocellular carcinoma, clear cell ovarian carcinoma"			E	Rec	TSG	"Mis, F, N, O"				"6A3-5,BAF250b,CCDS55072.1,DAN15,ELD/OSA1,ENSG00000049618.17,KIAA1235,NM_020732.3,NP_065783.3,Q8NFD5,p250R"
ARID2	AT rich interactive domain 2	196528	12:46123448-46301823	1	Yes	12	yes		hepatocellular carcinoma			E	Rec	TSG	"N, S, F"				"BAF200,CCDS31783.1,DKFZp686G052,ENSG00000189079.11,FLJ30619,KIAA1557,NM_152641.2,NP_689854.2,Q68CP9"
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1:150782181-150849244	1	Yes	21.3	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	ETV6			"CCDS970.1,ENSG00000143437.16,HIF-1beta,NM_178427.2,NP_848514.1,NP_001184254.1,NP_001659.1,P27540,bHLHe2"
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	79058	17:79935426-79975280	1	Yes	25.3	yes		alveolar soft part sarcoma			M	Dom	fusion	T	TFE3			"ASPL,ASPS,CCDS58611.1,ENSG00000169696.11,NM_001251888.1,NP_001238817.1,Q9BZE9,TUG,UBXD9,UBXN9"
ASXL1	additional sex combs like 1	171023	20:30946155-31027122	1	Yes	11.21	yes		"MDS, CMML"			L	Rec	TSG	"F, N, Mis"		yes	Bohring-Opitz syndrome	"CCDS13201.1,ENSG00000171456.12,KIAA0978,NM_015338.5,NP_056153,NP_056153.2,NP_001158075.1,Q8IXJ9"
ASXL2	"additional sex combs like 2, transcriptional regulator"	55252	2:25956622-26101385	2		23.3	yes		"melanoma, CCRCC, AML"			"E, L"		TSG	"O,N, F"				"ASXH2,ENSG00000143970.12,FLJ10898,KIAA1685,Q76L83"
ATF1	activating transcription factor 1	466	12:51158075-51214905	1	Yes	13.12	yes		"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"			"E, M"	Dom	"oncogene, fusion"	T	"EWSR1, FUS"			"CCDS8803.1,ENSG00000123268.4,NM_005171.4,NP_005162.1,P18846,TREB36"
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	2:216176540-216214486	1	Yes	35	yes		ALCL			L	Dom	fusion	T	ALK			"AICARFT,CCDS2398.1,ENSG00000138363.10,IMPCHASE,NM_004044.6,NP_004035.2,P31939,PURH"
ATM	ataxia telangiectasia mutated	472	11:108093559-108239826	1	Yes	22.3	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	"L, O"	Rec	TSG	"D, Mis, N, F, S"				"ATA,ATC,ATD,ATDC,CCDS31669.1,ENSG00000149311.13,NM_000051.3,NP_000042,NP_000042.3,Q13315,TEL1,TELO1"
ATP1A1	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	476	1:116916489-116947394	1	Yes	13.1	yes		adrenal aldosterone producing adenoma			E	Dom	"oncogene, TSG"	"Mis, O"				"CCDS53351.1,ENSG00000163399.11,NM_001160233.1,NP_001153705.1,P05023"
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	492	X:152801580-152848387	1	Yes	28	yes		adrenal aldosterone producing adenoma			E	Dom	TSG	O				"CCDS35440.1,CFAP39,CLA2,ENSG00000067842.13,NM_001001344.2,NP_001001344.1,PMCA3,Q16720,SCAX1"
ATR	ATR serine/threonine kinase	545	3:142168079-142297668	1	Yes	23	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	"E, L"	Dom	TSG	"F, Mis"		yes	Seckel syndrome 1	"CCDS3124.1,ENSG00000175054.10,FRP1,MEC1,NM_001184.3,NP_001175.2,Q13535,SCKL,SCKL1"
ATRX	alpha thalassemia/mental retardation syndrome X-linked	546	X:76760356-77041702	1	Yes	21.1	yes		"pancreatic neuroendocrine tumours, paediatric GBM"			E	Rec	TSG	"Mis, F, N"		yes	ATR-X (alpha thalassemia/mental retardation) syndrome	"CCDS14434.1,ENSG00000085224.16,JMS,MRX52,NM_000489.3,NP_000480.3,P46100,RAD54,XH2,XNP"
AXIN1	axin 1	8312	16:337440-402659	1	Yes	13.3	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			"E, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS10405.1,ENSG00000103126.10,NM_003502.3,NP_003493.1,O15169,PPP1R49"
AXIN2	axin 2	8313	17:63524681-63557765	1	Yes	24.1	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	"Mis, F, N"				"CCDS11662.1,DKFZp781B0869,ENSG00000168646.8,MGC126582,NM_004655.3,NP_004646.3,Q9Y2T1"
B2M	beta-2-microglobulin	567	15:45003675-45011075	1	Yes	21.1	yes		"DLBCL, melanoma, colorectal adenocarcinoma"			"E, L"	Rec	TSG	"Mis, N, F"		yes	Immunodeficiency 43	"CCDS10113.1,ENSG00000166710.13,NM_004048.2,NP_004039.1,P61769"
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314	3:52435029-52444366	1	Yes	21.1	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, skin and uveal melanoma, kidney cancer"	BAP1 tumor predisposition syndrome	E	Rec	TSG	"N, Mis, F, S, O"				"CCDS2853.1,ENSG00000163930.5,KIAA0272,NM_004656.3,NP_004647.1,Q92560,UCHL2,hucep-6"
BARD1	BRCA1 associated RING domain 1	580	2:215590370-215674428	1	Yes	35	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis				"CCDS2397.1,ENSG00000138376.6,NM_001282548.1,NP_001269477.1,NP_001269474.1,NP_001269472.1,NP_000456.2,Q99728"
BAX	"BCL2 associated X, apoptosis regulator"	581	19:49458186-49465055	1		13.33	yes		colorectal cancer			E		TSG	"F, Mis"				"BCL2L4,CCDS12744.1,ENSG00000087088.15,NM_004324.3,NP_004315.1,Q07812"
BAZ1A	bromodomain adjacent to zinc finger domain 1A	11177	14:35221943-35344853	2		13.2	yes		"uterine carcinosarcoma, colon cancer"			E		TSG	D				"ACF1,CCDS9651.1,ENSG00000198604.6,NM_013448.2,NP_038476.2,Q9NRL2,WALp1,WCRF180,hACF1"
BCL10	B-cell CLL/lymphoma 10	8915	1:85731931-85742773	1	Yes	22.3	yes		MALT			L	Dom	"TSG, fusion"	T	IGH			"CARMEN,CCDS704.1,CIPER,CLAP,ENSG00000142867.8,NM_003921.4,NP_003912.1,O95999,c-E10,mE10"
BCL11A	B-cell CLL/lymphoma 11A	53335	2:60684333-60780633	1	Yes	16.1	yes		B-CLL			L	Dom	"oncogene, fusion"	T	IGH			"BCL11A-L,BCL11A-S,BCL11A-XL,CCDS1862.1,CTIP1,ENSG00000119866.16,EVI9,HBFQTL5,NM_022893.3,NP_075044.2,Q9H165,ZNF856"
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	64919	14:99635624-99737565	1	Yes	32.2	yes		T-ALL			L	Dom	"oncogene, TSG, fusion"	T	TLX3			"CCDS9950.1,CTIP-2,CTIP2,ENSG00000127152.13,NM_138576.2,NP_001269166.1,NP_612808.1,Q9C0K0,ZNF856B,hRIT1-alpha"
BCL2	B-cell CLL/lymphoma 2	596	18:60790579-60987361	1		21.33	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	T	IGH			"Bcl-2,CCDS11981.1,ENSG00000171791.10,NM_000633.2,NP_000624.2,P10415,PPP1R50"
BCL2L12	BCL2 like 12	83596	19:50168823-50177173	2		13.33	yes		"melanoma, SCC"			E		oncogene	Mis				"CCDS12776.1,ENSG00000126453.5,NM_138639.1,NP_001035758.1,NP_001269445.1,NP_619580.1,Q9HB09"
BCL3	B-cell CLL/lymphoma 3	602	19:45251804-45263301	1		13.32	yes		CLL			L	Dom	"oncogene, fusion"	T	IGH			"BCL4,CCDS12642.2,D19S37,ENSG00000069399.8,NM_005178.4,NP_005169.2,P20749"
BCL6	B-cell CLL/lymphoma 6	604	3:187439165-187463515	1		27.3	yes		"NHL, CLL"			L	Dom	"oncogene, fusion"	"T, Mis"	"IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3"			"BCL5,BCL6A,CCDS3289.1,ENSG00000113916.13,LAZ3,NM_001706.4,NP_001697.2,P41182,ZBTB27,ZNF51"
BCL7A	B-cell CLL/lymphoma 7A	605	12:122457328-122499948	1		24.31	yes		BNHL			L	Dom	fusion	T	MYC			"BCL7,CCDS9226.1,ENSG00000110987.4,NM_020993.3,NP_066273.1,Q4VC05"
BCL9	B-cell CLL/lymphoma 9	607	1:147013182-147098017	1	Yes	21.2	yes		B-ALL			L	Dom	"oncogene, fusion"	T	"IGH, IGL"			"CCDS30833.1,ENSG00000116128.5,NM_004326.3,NP_004317.2,O00512"
BCL9L	B-cell CLL/lymphoma 9-like	283149	11:118764584-118781613	1	Yes	23.3	yes		"colorectal cancer, endometrial carcinoma, gastric cancer"			E		"oncogene, TSG"	"Mis, F"				"CCDS8403.1,DLNB11,ENSG00000186174.8,NM_182557.2,NP_872363.1,Q86UU0"
BCLAF1	BCL2 associated transcription factor 1	9774	6:136578001-136610989	2		23.3	yes		"melanoma, SCC"			E			Mis				"BTF,CCDS5177.1,ENSG00000029363.11,KIAA0164,NM_014739.2,NP_001070909.1,NP_055554.1,Q9NYF8"
BCOR	BCL6 corepressor	54880	X:39910501-39956656	1	Yes	11.4	yes		"retinoblastoma, AML, APL (translocation)"			"L, M"	Rec	"TSG, fusion"	"F, N, S, T"	RARA	yes	Oculo-facio-cardio-dental genetic	"CCDS48093.1,ENSG00000183337.12,FLJ20285,KIAA1575,NM_001123385.1,NP_001116857.1,Q6W2J9"
BCORL1	BCL6 corepressor-like 1	63035	X:129139164-129192058	1	Yes	26.1	yes		"AML, HNSCC"			"E, L"		"oncogene, TSG"	"Mis, N, F"				"CCDS14616.1,CXorf10,ENSG00000085185.11,FLJ11362,NM_021946.4,NP_068765,NP_068765.3,Q5H9F3"
BCR	breakpoint cluster region	613	22:23522397-23660224	1		11.23	yes		"CML, ALL, AML"			L	Dom	fusion	T	"ABL1,  FGFR1, JAK2"			"ALL,BCR1,CCDS13806.1,CML,D22S11,D22S662,ENSG00000186716.15,NM_004327.3,NP_004318.3,P11274,PHL"
BIRC3	baculoviral IAP repeat-containing 3	330	11:102188226-102208465	1	Yes	22.2	yes		"CLL, MALT, MCL, MM"			L	Dom	"oncogene, TSG, fusion"	"D, F, N, T, Mis"	MALT1			"API2,CCDS8315.1,ENSG00000023445.9,MALT2,MIHC,NM_001165.4,NP_001156.1,Q13489,RNF49,c-IAP2,cIAP2,hiap-1"
BIRC6	baculoviral IAP repeat containing 6	57448	2:32582096-32843966	2		22.3	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"			E		"oncogene, fusion"	"T, Mis"	ALK			"BRUCE,CCDS33175.2,ENSG00000115760.9,NM_016252.3,NP_057336,NP_057336.3,Q9NR09"
BLM	Bloom Syndrome	641	15:91260558-91358692	1	Yes	26.1		yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome	"L, E"	Rec	TSG	"Mis, N, F"				"BS,CCDS10363.1,ENSG00000197299.6,NM_001287246.1,NP_000048.1,NP_001274175.1,P54132,RECQ2,RECQL3"
BMP5	bone morphogenetic protein 5	653	6:55618443-55740362	2		12.1	yes		melanoma			E			Mis				"CCDS4958.1,ENSG00000112175.6,NM_021073.2,NP_066551.1,P22003"
BMPR1A	"bone morphogenetic protein receptor, type IA"	657	10:88516407-88692595	1	Yes	23.2		yes		gastrointestinal polyps	juvenile polyposis	E	Rec	"oncogene, TSG"	"Mis, N, F"				"ACVRLK3,ALK3,CCDS7378.1,CD292,ENSG00000107779.7,NM_004329.2,NP_004320.2,P36894"
BRAF	v-raf murine sarcoma viral oncogene homolog B1	673	7:140434279-140624564	1	Yes	34	yes		"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"			"E, O"	Dom	"oncogene, fusion"	"Mis, T, O"	"AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP"	yes	Cardio-facio-cutaneous syndrome	"BRAF1,CCDS5863.1,ENSG00000157764.8,NM_004333.4,NP_004324.2,P15056"
BRCA1	familial breast/ovarian cancer gene 1	672	17:41197646-41277500	1	Yes	21.31	yes	yes	ovarian	"breast, ovarian"	hereditary breast/ovarian cancer	E	Rec	TSG	"D, Mis, N, F, S"				"BRCC1,CCDS11456.2,ENSG00000012048.15,FANCS,NM_007300.3,NP_009231.2,PPP1R53,RNF53"
BRCA2	familial breast/ovarian cancer gene 2	675	13:32889617-32973805	1	Yes	13.1	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer	"L, E"	Rec	TSG	"D, Mis, N, F, S"				"BRCC2,CCDS9344.1,ENSG00000139618.10,FACD,FAD,FAD1,FANCD,FANCD1,NM_000059.3,NP_000050,NP_000050.2,P51587,XRCC11"
BRD3	bromodomain containing 3	8019	9:136895427-136933139	1		34.2	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"CCDS6980.1,ENSG00000169925.12,KIAA0043,NM_007371.3,NP_031397.1,ORFX,Q15059,RING3L"
BRD4	bromodomain containing 4	23476	19:15347647-15391262	1	Yes	13.12	yes		lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	NUTM1			"CAP,CCDS12328.1,ENSG00000141867.13,HUNK1,HUNKI,MCAP,NM_058243.2,NP_490597.1,O60885"
BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	17:59758627-59940882	1	Yes	23.2		yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	"L, E"	Rec	TSG	"F, N, Mis"				"BACH1,CCDS11631.1,ENSG00000136492.4,FANCJ,NM_032043.2,NP_114432.2,OF,Q9BX63"
BTG1	"B-cell translocation gene 1, anti-proliferative"	694	12:92536286-92539673	1		21.33	yes		B-CLL			L	Dom	"TSG, fusion"	T	MYC			"APRO2,CCDS9043.1,ENSG00000133639.3,NM_001731.2,NP_001722.1,P62324"
BTG2	BTG Anti-Proliferation Factor 2	7832	1:203274664-203278730	2		32.1	yes		DLBCL			L		TSG	Mis				"APRO1,CCDS1437.1,ENSG00000159388.5,MGC126063,MGC126064,NM_006763.2,NP_006754.1,P78543,PC3,TIS21"
BTK	Bruton agammaglobulinemia tyrosine kinase	695	X:100604438-100641183	1	Yes	22.1	yes		"CLL, mantle cell lymphoma, WM"			L	Dom	"oncogene, TSG"	Mis		yes	agammaglobulinemia	"AGMX1,ATK,CCDS14482.1,ENSG00000010671.11,IMD1,NM_001287344.1,NP_001274273.1,NP_000052.1,PSCTK1,Q06187,XLA"
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	701	15:40453227-40513337	1	Yes	15.1		yes		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	"Mis, N, F, S"				"BUBR1,Bub1A,CCDS10053.1,ENSG00000156970.8,MAD3L,NM_001211.5,NP_001202,NP_001202.4,O60566,SSK1"
C15orf65	chromosome 15 open reading frame 65	145788	15:55700746-55710910	2		21.3	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			"CCDS58363.1,ENSG00000261652.2,FLJ27352,H3BRN8,NM_001198784.1,NP_001185713.1"
CACNA1D	"calcium channel, voltage-dependent, L type, alpha 1D subunit"	776	3:53529076-53847760	1	Yes	21.1	yes		adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		yes	"Syndrome featuring primary aldosteronism, seizures and neuromuscular disease."	"CACH3,CACN4,CACNL1A2,CCDS2872.1,CCHL1A2,Cav1.3,ENSG00000157388.9,NM_000720.3,NP_000711.1,Q01668"
CALR	calreticulin	811	19:13049421-13055303	1	Yes	13.2	yes		"MPN, MDS"			L	Dom	oncogene	"F, Mis"				"CCDS12288.1,CRT,ENSG00000179218.9,FLJ26680,NM_004343.3,NP_004334.1,P27797,RO,SSA,cC1qR"
CAMTA1	calmodulin binding transcription activator 1	23261	1:6845384-7829766	1	Yes	36.31	yes		epithelioid haemangioendothelioma			M	Dom	"TSG, fusion"	T	WWTR1			"CCDS30576.1,ENSG00000171735.14,KIAA0833,NM_015215.2,NP_056030.1,Q9Y6Y1"
CANT1	calcium activated nucleotidase 1	124583	17:76987799-77005899	1	Yes	25.3	yes		prostate			E	Dom	fusion	T	ETV4			"CCDS11760.1,ENSG00000171302.12,NM_138793.3,NP_001153245.1,NP_620148.1,Q8WVQ1,SCAN-1,SHAPY"
